Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
03/07/2019,0.00,1.00,88.22
04/07/2019,0.00,1.00,88.01
05/07/2019,0.00,1.00,87.79
06/07/2019,0.00,1.00,90.07
07/07/2019,0.65,3.58,90.40
08/07/2019,1.00,5.00,90.98
09/07/2019,1.00,5.00,91.02
10/07/2019,1.00,5.00,91.29
11/07/2019,1.00,5.00,89.70
12/07/2019,1.00,5.00,87.97
13/07/2019,1.00,5.00,90.79
14/07/2019,0.94,3.06,90.98
15/07/2019,0.90,2.00,89.97
16/07/2019,0.90,2.00,90.16
17/07/2019,0.90,2.00,90.99
18/07/2019,0.90,2.00,90.80
19/07/2019,0.90,2.00,90.62
20/07/2019,0.90,2.00,90.46
21/07/2019,0.90,2.00,90.43
22/07/2019,0.90,2.00,90.67
23/07/2019,0.90,2.00,89.85
24/07/2019,0.90,2.00,89.19
25/07/2019,0.90,2.00,89.54
26/07/2019,0.90,2.00,88.77
27/07/2019,0.90,2.00,89.41
28/07/2019,0.90,1.35,89.82
29/07/2019,0.90,1.00,90.52
30/07/2019,0.90,1.00,90.46
31/07/2019,0.90,1.00,89.78
01/08/2019,0.90,1.00,89.99
02/08/2019,0.90,1.00,90.06
03/08/2019,0.90,1.00,89.61
04/08/2019,0.90,1.00,89.43
05/08/2019,0.90,1.00,89.17
06/08/2019,0.90,1.00,88.83
07/08/2019,0.90,1.00,87.50
08/08/2019,0.90,1.00,87.25
09/08/2019,0.90,1.00,87.70
10/08/2019,0.90,1.00,88.27
11/08/2019,0.90,1.65,89.27
12/08/2019,0.90,2.00,87.35
13/08/2019,0.90,2.00,87.19
14/08/2019,0.90,2.00,87.14
15/08/2019,0.90,2.00,86.93
16/08/2019,0.90,2.00,88.01
17/08/2019,0.90,2.00,90.73
18/08/2019,0.96,2.65,90.83
19/08/2019,1.00,3.00,88.39
20/08/2019,1.00,3.00,87.33
21/08/2019,1.00,3.00,86.92
22/08/2019,1.00,3.00,87.05
23/08/2019,1.00,3.00,86.77
24/08/2019,1.00,3.00,86.89
25/08/2019,1.00,3.00,88.19
26/08/2019,1.00,3.00,88.56
27/08/2019,1.00,3.00,88.75
28/08/2019,1.00,3.00,89.64
29/08/2019,1.00,3.00,89.34
30/08/2019,1.00,3.00,89.57
31/08/2019,1.00,3.00,89.58
01/09/2019,1.00,3.65,89.32
02/09/2019,1.00,4.00,89.65
03/09/2019,1.00,4.00,89.70
04/09/2019,1.00,4.00,89.26
05/09/2019,1.00,4.00,89.02
06/09/2019,1.00,4.00,88.74
07/09/2019,1.00,4.00,88.23
08/09/2019,1.00,3.35,87.90
09/09/2019,1.00,3.00,87.26
10/09/2019,1.00,3.00,86.84
11/09/2019,1.00,3.00,86.71
12/09/2019,1.00,3.00,87.09
13/09/2019,1.00,3.00,87.79
14/09/2019,1.00,3.00,87.51
15/09/2019,0.94,6.23,87.43
16/09/2019,0.90,8.00,86.98
17/09/2019,0.90,8.00,86.28
18/09/2019,0.90,8.00,86.45
19/09/2019,0.90,8.00,87.21
20/09/2019,0.90,8.00,88.09
21/09/2019,0.90,8.00,87.80
22/09/2019,0.90,6.06,87.42
23/09/2019,0.90,5.00,86.40
24/09/2019,0.90,5.00,86.47
25/09/2019,0.90,5.00,88.14
26/09/2019,0.90,5.00,88.05
27/09/2019,0.90,5.00,87.60
28/09/2019,0.90,5.00,87.54
29/09/2019,0.96,3.71,87.95
30/09/2019,1.00,3.00,87.53
01/10/2019,1.00,3.00,87.07
02/10/2019,1.00,3.00,87.76
03/10/2019,1.00,3.00,87.71
04/10/2019,1.00,3.00,87.95
05/10/2019,1.00,3.00,88.41
06/10/2019,1.00,1.71,88.85
07/10/2019,1.00,1.00,88.69
08/10/2019,1.00,1.00,88.68
09/10/2019,1.00,1.00,88.43
10/10/2019,1.00,1.00,87.95
11/10/2019,1.00,1.00,88.11
12/10/2019,1.00,1.00,88.78
13/10/2019,1.00,1.65,88.56
14/10/2019,1.00,2.00,88.15
15/10/2019,1.00,2.00,87.89
16/10/2019,1.00,2.00,88.06
17/10/2019,1.00,2.00,88.81
18/10/2019,1.00,2.00,89.08
19/10/2019,1.00,2.00,88.94
20/10/2019,1.65,1.35,88.69
21/10/2019,2.00,1.00,87.55
22/10/2019,2.00,1.00,86.71
23/10/2019,2.00,1.00,87.24
24/10/2019,2.00,1.00,87.87
25/10/2019,2.00,1.00,87.45
26/10/2019,2.00,1.00,87.04
27/10/2019,1.29,2.94,87.94
28/10/2019,0.90,4.00,93.71
29/10/2019,0.90,4.00,93.76
30/10/2019,0.90,4.00,93.93
31/10/2019,0.90,4.00,94.02
01/11/2019,0.90,4.00,92.38
