Date,RCPR.SC5415_T-SULFUR,RCPR.SC5415_WATER
15/07/2021,0.04,27.27
16/07/2021,0.04,27.27
17/07/2021,0.04,27.27
18/07/2021,0.04,27.27
19/07/2021,0.03,27.27
20/07/2021,0.00,27.27
21/07/2021,0.01,28.21
22/07/2021,0.06,31.37
23/07/2021,0.06,31.37
24/07/2021,0.06,31.37
25/07/2021,0.06,31.37
26/07/2021,0.06,31.37
27/07/2021,0.03,31.37
28/07/2021,0.02,31.36
29/07/2021,0.00,31.34
30/07/2021,0.00,31.34
31/07/2021,0.00,31.34
01/08/2021,0.00,31.34
02/08/2021,0.04,31.34
03/08/2021,0.35,31.34
04/08/2021,0.29,30.37
05/08/2021,0.08,27.07
06/08/2021,0.08,27.07
07/08/2021,0.10,27.07
08/08/2021,0.05,27.07
09/08/2021,0.00,27.07
10/08/2021,0.01,27.07
11/08/2021,0.03,28.34
12/08/2021,0.08,32.62
13/08/2021,0.08,32.62
14/08/2021,0.08,32.62
15/08/2021,0.08,32.62
16/08/2021,0.09,32.62
17/08/2021,0.13,32.62
18/08/2021,0.11,31.67
19/08/2021,0.01,28.47
20/08/2021,0.01,28.47
21/08/2021,0.01,28.47
22/08/2021,0.01,28.47
23/08/2021,0.03,28.47
24/08/2021,0.07,28.47
25/08/2021,0.05,27.94
26/08/2021,0.00,26.14
27/08/2021,0.00,26.14
28/08/2021,0.00,26.14
29/08/2021,0.00,26.14
30/08/2021,0.00,26.14
31/08/2021,0.00,26.14
01/09/2021,0.02,26.97
02/09/2021,0.10,29.77
03/09/2021,0.10,29.77
04/09/2021,0.10,29.77
05/09/2021,0.10,29.77
06/09/2021,0.11,29.77
07/09/2021,0.13,29.77
08/09/2021,0.12,30.75
09/09/2021,0.06,34.05
10/09/2021,0.06,34.05
11/09/2021,0.06,34.05
12/09/2021,0.06,34.05
13/09/2021,0.12,34.05
14/09/2021,0.31,34.05
15/09/2021,0.25,32.49
16/09/2021,0.00,27.22
17/09/2021,0.00,27.22
18/09/2021,0.00,27.22
19/09/2021,0.00,27.22
20/09/2021,0.00,27.22
21/09/2021,0.00,27.22
