Date,RCPR.SC5415_T-SULFUR,RCPR.SC5415_WATER
23/05/2019,0.16,21.85
24/05/2019,0.18,21.85
25/05/2019,0.16,21.85
26/05/2019,0.24,21.85
27/05/2019,0.44,21.85
28/05/2019,0.21,21.85
29/05/2019,0.12,27.69
30/05/2019,0.22,47.40
31/05/2019,0.11,47.40
01/06/2019,0.08,47.40
02/06/2019,0.12,47.40
03/06/2019,0.15,47.40
04/06/2019,0.07,47.40
05/06/2019,0.06,45.36
06/06/2019,0.05,38.50
07/06/2019,0.01,38.50
08/06/2019,0.06,38.50
09/06/2019,0.21,38.50
10/06/2019,0.04,38.50
11/06/2019,0.07,38.50
12/06/2019,0.10,36.09
13/06/2019,0.05,27.95
14/06/2019,0.03,27.95
15/06/2019,0.05,27.95
16/06/2019,0.05,27.95
17/06/2019,0.13,27.95
18/06/2019,0.09,27.95
19/06/2019,0.05,28.70
20/06/2019,0.06,31.25
21/06/2019,0.06,31.25
22/06/2019,0.00,31.25
23/06/2019,0.07,31.25
24/06/2019,0.15,31.25
25/06/2019,0.44,31.25
26/06/2019,0.60,31.25
27/06/2019,0.60,31.25
28/06/2019,0.60,31.25
29/06/2019,0.60,31.25
30/06/2019,0.60,31.25
01/07/2019,0.60,31.25
02/07/2019,0.60,31.25
03/07/2019,0.60,31.25
