Date,T-HN_API
17/12/20 07:00,57.42
19/12/20 07:00,57.11
22/12/20 07:00,57.43
24/12/20 06:30,57.43
26/12/20 07:00,57.99
29/12/20 06:00,56.97
31/12/20 06:30,57.48
02/01/21 07:00,58.18
05/01/21 07:00,59.29
07/01/21 07:00,58.70
09/01/21 07:00,58.92
12/01/21 07:00,58.30
14/01/21 07:00,58.99
16/01/21 07:00,57.40
19/01/21 07:00,57.98
21/01/21 07:00,57.23
23/01/21 07:00,56.50
26/01/21 07:00,58.05
28/01/21 06:00,58.62
30/01/21 06:00,58.39
04/02/21 07:00,57.39
06/02/21 07:00,57.38
09/02/21 07:00,58.29
11/02/21 07:00,57.96
13/02/21 07:00,57.94
16/02/21 07:00,56.52
18/02/21 07:00,56.72
20/02/21 07:00,56.44
23/02/21 07:00,57.52
25/02/21 07:00,57.43
27/02/21 07:00,57.83
02/03/21 07:00,58.46
04/03/21 07:00,58.11
06/03/21 07:00,58.54
09/03/21 07:00,59.25
11/03/21 07:00,57.09
13/03/21 07:00,56.75
16/03/21 07:00,59.32
18/03/21 07:00,58.52
20/03/21 07:00,58.99
23/03/21 07:00,58.34
25/03/21 07:00,58.18
27/03/21 07:00,58.34
30/03/21 07:00,57.62
01/04/21 07:00,59.12
03/04/21 07:00,84.12
06/04/21 07:00,57.19
08/04/21 07:00,55.51
10/04/21 07:00,85.32
13/04/21 07:00,57.17
15/04/21 07:00,56.34
17/04/21 07:00,57.12
20/04/21 07:00,58.30
22/04/21 07:00,57.98
24/04/21 07:00,58.03
27/04/21 07:00,56.63
29/04/21 07:00,56.62
01/05/21 07:00,57.91
04/05/21 07:00,57.90
06/05/21 07:00,58.04
08/05/21 07:00,56.54
11/05/21 07:00,58.86
13/05/21 07:00,57.82
15/05/21 07:00,57.46
18/05/21 07:00,57.15
20/05/21 07:00,57.84
22/05/21 07:00,58.14
25/05/21 07:00,58.06
27/05/21 07:00,58.12
29/05/21 07:00,58.50
01/06/21 07:00,59.37
03/06/21 07:00,58.06
05/06/21 07:00,57.88
08/06/21 07:00,58.22
10/06/21 07:00,57.55
12/06/21 07:00,56.96
15/06/21 07:00,57.15
17/06/21 07:00,57.50
19/06/21 07:00,56.89
22/06/21 07:00,57.43
24/06/21 07:00,57.63
26/06/21 07:00,57.48
29/06/21 07:00,57.59
01/07/21 07:00,57.28
03/07/21 07:00,55.40
06/07/21 07:00,56.99
08/07/21 07:00,55.74
10/07/21 07:00,53.91
14/07/21 07:00,55.17
16/07/21 07:00,55.33
17/07/21 07:00,55.34
20/07/21 07:00,55.90
22/07/21 07:00,57.54
24/07/21 07:00,57.25
27/07/21 07:00,56.30
29/07/21 07:00,55.69
31/07/21 07:00,56.67
03/08/21 07:00,56.04
05/08/21 07:00,56.17
07/08/21 07:00,55.83
10/08/21 07:00,56.22
12/08/21 07:00,54.84
14/08/21 07:00,55.69
17/08/21 07:00,56.38
19/08/21 07:00,55.05
