Date,1-3-BDE,1-Butene,Acetylene,,C2H5SH,,C3-Lighter,,C5-C6 Plus,CH3SH,,cis-2-Butene,Cl,CO,CO2,,COS,CS2,Cu Strip @37.8oC,Density @15C,DES,DMS,Ethane,Ethylene,H2,H2S,i-Butane,"i-Butane,n-Butane",i-Butylene,i-Butyl Mercaptan,i-C3H7SH,i-Pentane,MA,Mercaptan,MES,Methane,N2,n-Butane,N-Butyl Mercaptan,n-Pentane,O2,"Pentane,Heavier",Propadiene,Propane,Propylene,sec-Butyl Mercaptan,SO2,Sp.Gr. @60/60F,Tert-Butyl Mercaptan,Thiophene,Total Cl,Total Cl,trans-2-Butene
6/23/2019 12:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019 16:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019 22:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2019 07:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2019 20:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,4.4,0.1,0.1,,35.3,59.7,0.6,,,,0.1,,,0.1,0.1,24.4,,,,0.5,0.1,34.3,0.2,,,,,,,,0.1
6/26/2019 20:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2019 20:00,,,,,,,,,,,,,,,,,,,No. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2019 10:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2019 22:00,,,,,,,,,,,,,,,,,,,No. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019 09:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,0.5,0.5,,,,1.8,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,,,0.5,,,0.5,0.5,,,
6/30/2019 09:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019 13:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,0.5,0.5,,,,3,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,,,0.5,,,0.5,0.5,,,
6/30/2019 13:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019 20:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,0.5,0.5,,,,1.2,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,,,0.5,,,0.5,0.5,,,
6/30/2019 20:00,,,,,,,,,,,,,,,,,,,No. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019 20:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,0.5,0.5,,,,1,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,,,0.5,,,0.5,0.5,,,
7/3/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.2,,0.1,0.1,,,,,,,,7.3,0.1,0.1,,30.6,58.5,0.8,,,,0.1,,,0.2,0.1,27.9,,,,0.1,0.1,32.4,0.2,,,,,,,,0.2
7/3/2019 20:00,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,0.5,0.5,,,,2,,,,0.5,0.5,,,,0.5,,,,0.5,,,,,,,0.5,,,0.5,0.5,,,
7/3/2019 22:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2019 20:00,,,,,,,,,,,,,,,,,,,No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2019 20:00,0.1,0.1,0.1,,,,,,,,,0.1,,0.1,0.1,,,,,,,,7,0.1,0.1,,31.8,53.8,0.5,,,,0.1,,,0.2,0.1,22,,,,2.7,0.1,35.3,0.2,,,,,,,,0.1
7/10/2019 20:00,,,,,,,,,,,,,,,,,,,No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
